Name,Tagline,Phone,Profile Link,Email,Website,Address,City,Postcode,Tier,NAICS Info,Social Media Links
Be Bolder SEO,Las Vegas SEO Digital Marketing Agency,(775) 835-4876,https://www.sbdpro.com/business/be-bolder-seo,,,,,,,,
Coffey and Rader CPAs,"Guiding Your Finances, Empowering Your Future",(435) 773-2171,https://www.sbdpro.com/business/coffey-and-rader-cpas,,,,,,,,
Autoverse Rental Car,Las Vegas rental cars,(702) 800-9796,https://www.sbdpro.com/business/autoverse-rental-car,,,,,,,,
SEO Las Vegas,"Generate consistent, qualified leads for your Las Vegas business",(929) 566-4655,https://www.sbdpro.com/business/seo-las-vegas,,,,,,,,
All European,Auto Repair Las Vegas,(702) 363-9191,https://www.sbdpro.com/business/all-european-i-auto-repair-las-vegas,,,,,,,,
John Minoli MD FACS,Las Vegas Cosmetic Surgery,(702) 459-3223,https://www.sbdpro.com/business/john-minoli-md-facs-las-vegas-cosmetic-surgery,,,,,,,,
Levy Online,Your partner in digital marketing success,(702) 739-3082,https://www.sbdpro.com/business/levy-online,,,,,,,,
The Giuliani Law Firm,Probate Attorney Las Vegas,(702) 388-9800,https://www.sbdpro.com/business/the-giuliani-law-firm-probate-attorney-las-vegas,,,,,,,,
Kaptyn,Las Vegas transportation service,(800) 990-0417,https://www.sbdpro.com/business/kaptyn,,,,,,,,
Larkin Plumbing,Las Vegas Plumbing Contractor,(702) 979-3992,https://www.sbdpro.com/business/larkin-plumbing,,,,,,,,
Eastern Laptop Repair,Las Vegas Computer Repair,(702) 268-2680,https://www.sbdpro.com/business/eastern-laptop-repair,,,,,,,,
RADON LLC,"Elevating Your Brand, One Booth at a Time",(917) 463-3566,https://www.sbdpro.com/business/radon-llc,,,,,,,,
Las Vegas Medical Weight Loss Club,"Safe, affordable, physician-led semaglutide (Ozempic® Wegovy®) and tirzepatide",(702) 350-2220,https://www.sbdpro.com/business/las-vegas-medical-weight-loss-club,,,,,,,,
Virtue Recovery Center,Las Vegas addiction recovery center,(866) 607-0541,https://www.sbdpro.com/business/virtue-recovery-centerr,,,,,,,,
The Nevada Independent,Nevada journalists,(702) 670-0976,https://www.sbdpro.com/business/the-nevada-independent,,,,,,,,
Fremont Street Experience,,(702) 678-5600,https://www.sbdpro.com/business/fremont-street-experience,,,,,,,,
Preventative Diagnostic Center,Las Vegas radiologists,(702) 534-7900,https://www.sbdpro.com/business/preventative-diagnostic-center,,,,,,,,
Absolute Dental,Warm Springs Family Dentist,(702) 825-0270,https://www.sbdpro.com/business/absolute-dental-rainbow,,,,,,,,
Sci-Fi Wedding Chapel,Las Vegas Chapel,(702) 333-2121,https://www.sbdpro.com/business/sci-fi-wedding-chapel-las-vegas,,,,,,,,
Festival Turf Las Vegas,Las Vegas Artificial Grass Supplier,(844) 702-8873,https://www.sbdpro.com/business/festival-turf-las-vegas,,,,,,,,
Mitchell Empire Group LLC,Tier 1 Local Emerging Small Business,,,contact@mitchellpestsolutions.com,https://www.MitchellPestSolutions.com,,,,,,
Generation Iron Works,Tier 1 Local Emerging Small Business,,,GenerationIronWorks@outlook.com,https://www.GenerationIronWorks.com,,,,,,
National Screening LLC,Tier 1 Local Emerging Small Business,,,info@mynationalscreening.com,https://www.mynationalscreening.com,,,,,,
Distinctive Contractors LLC,Tier 1 Local Emerging Small Business,,,admin@distinctivecontractor.com,https://distinctivecontractorsllc.com,,,,,,
"Santacruz Paint and Drywall, LLC",Tier 1 Local Emerging Small Business,,,santacruzllclv@gmail.com,https://www.spdlv.com,,,,,,
"MyRxWallet, Inc",Tier 1 Local Emerging Small Business,,,info@myrxwallet.app,https://myrxwallet.app,,,,,,
DreamBuildGrow International LLC,Tier 1 Local Emerging Small Business,,,johnnymorales.go@gmail.com,https://www.JohnnyMorales.life,,,,,,
ELITE IT CORPORATION,Tier 1 Local Emerging Small Business,,,support@yourelitecrew.com,,,,,,,
"MCM Elevator Consulting Group, LLC",Tier 1 Local Emerging Small Business,,,info@mcmelevatorinspections.com,https://www.mcmelevatorinspections.com/,,,,,,
Earthwise Design,Tier 1 Local Emerging Small Business,,,jeffr@earthwise.design,,,,,,,
"Alfa Kings Construction & Management, LLC",Tier 1 Local Emerging Small Business,,,alfakings67@gmail.com,,,,,,,
ADL ECOCARE INC,Tier 1 Local Emerging Small Business,,,,https://www.millicare.com/las-vegas/,,,,,,
"ABR Consulting, LLC",Tier 1 Local Emerging Small Business,,,hello@guidedarrows.com,https://www.guidedarrows.com/,,,,,,
"Two Chickens , LLC",Tier 1 Local Emerging Small Business,,,somethintotacoboutlv@gmail.com,https://somethin-to-taco-bout.square.site/,,,,,,
DVK TRANSPORTS LLC,Tier 1 Local Emerging Small Business,,,dvktransports@yahoo.com,,,,,,,
"SECOND2NONE, LIMITED PARTNERSHIP",Tier 1 Local Emerging Small Business,,,farrell702howard@gmail.com,,,,,,,
"Park It Here, LLC",Tier 1 Local Emerging Small Business,,,sincityrvsafe@gmail.com,https://N/A,,,,,,
Your Brand Clothing Company,Tier 1 Local Emerging Small Business,,,info@uniforms2you.com,https://uniforms2you.com,,,,,,
Maribel Cuervo,Tier 1 Local Emerging Small Business,,,cuervobilingualservices@gmail.com,https://www.myinterpreter.help,1001 N. Richmond Ave.,Carson City,89703.0,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '541930', 'Description': 'Translation and Interpretation Services', 'Capability': 'Spanish'}]",[]
Bradley Taylor LLC,Tier 1 Local Emerging Small Business,,,support@theblackpot702.com,https://theblackpot702.com/,8609 W. Sahara Avenue,Las Vegas,89117.0,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '722320', 'Description': 'CATERS, CATERING SERVICE', 'Capability': ''}]",[]
Vegas Fire and Electric LLC,Tier 1 Local Emerging Small Business,,,vegasfireandelectric@gmail.com,,702 Gritty Garnet Ave,Las Vegas,89183.0,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '238210', 'Description': 'Electrical Contractors and Other Wiring Installation Contractors', 'Capability': 'Electrical Contracting'}]",[]
KGH Corp,Tier 1 Local Emerging Small Business,,,shawn@weconnectnv.com,https://weconnectnv.com,6445 W Sunset Rd STE 172,Las Vegas,89118.0,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '238210', 'Description': 'Electrical Contractors and Other Wiring Installation Contractors', 'Capability': ''}]",[]
GraffitiGone Pros,Tier 1 Local Emerging Small Business,,,GraffitiGonepros@gmail.com,,4339 Sunrise Shores Ave,North Las Vegas,89031.0,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '561790', 'Description': 'Other services to buildings and dwellings', 'Capability': 'Ability to provide graffiti removal services using eco-friendly friendly solutions to bare brick, concrete, asphalt, tile, glass or metals. Capable of providing paint matching paint-over to painted surfaces that include stucco, siding, brick, wood and metals. To include protection of exterior painted murals with UV protection, consolidation, weatherproofing.'}]",[]
Nevada Presort Corporation,Tier 2 Local Emerging Small Business,,,info@nvpresort.com,https://www.nvpresort.com,1560 Hymer Ave,Sparks,89431.0,Tier 2 Local Emerging Small Business,"[{'NAICS Code': '541860', 'Description': 'Direct Mail Advertising', 'Capability': 'Presort mail, courier service and Mail Prodiction'}]",[]
CovInnovations Inc.,Tier 1 Local Emerging Small Business,,,jjones@covinnovations.com,https://www.covinnovations.com,3012 South Durango Drive,Las Vegas,89117.0,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '541715', 'Description': 'Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)', 'Capability': 'Pharmaceutical manufacturer'}]",[]
Lucky Pua LLC,Tier 1 Local Emerging Small Business,,,myluckypua@gmail.com,https://myluckypua.com,4255 Dean Martin Drive,Las Vegas,89103.0,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '445298', 'Description': 'All Other Specialty Food Retailers', 'Capability': 'Nonstore direct selling establishment selling imported products directly to businesses in Nevada. The products that we sell range in variety, and we primarily focus on products for the food and beverage industry and events.'}]",[]
Porschea Palmer,Tier 1 Local Emerging Small Business,,,risingsblogistics@gmail.com,https://www.handyrequest.com,8490 barossa court,Las Vegas,89117.0,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '541611', 'Description': 'Administrative Management and General Management Consulting Services', 'Capability': 'B2b in building business assistance for B2C -  Business consulting, administrative assistance, lead generation'}]",[]
"Minion Works, LLC",Tier 1 Local Emerging Small Business,,,,https://minionworksllc.com,769 country view ct,Reno,89506.0,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '541922', 'Description': 'Commercial photography services', 'Capability': 'HDR Photography, aerial Photography'}]",[]
Lewis Premier Solar Cleaning LLC,Tier 1 Local Emerging Small Business,,,lewispremiersc@gmail.com,https://lewispremiersc.com,5200 Yellow Dawn Ct.,Las Vegas,89130.0,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '561720', 'Description': 'Janitorial Services', 'Capability': 'Commercial & residential solar panel cleaning, commercial & residential window cleaning, artificial turf cleaning'}]",[]
Zen National Corporation,Tier 1 Local Emerging Small Business,,,support@zenational.com,https://www/zenational.com,302 E Carson Ave  Floor 10th  Ste 1009,Las Vegas,89101.0,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '541511', 'Description': 'Custom Computer Programming Services', 'Capability': 'software design&implementation, server hardware configuration and integration, server hardware component sales'}]",[]
Morgan Massie,Tier 1 Local Emerging Small Business,,,info@leadershipandtrainingconcierge.com,https://www.leadershipandtrainingconcierge.com,10580 N. McCarran Blvd. Suite 115-371,Reno,89523.0,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '611430', 'Description': 'Professional and Management Development Training', 'Capability': 'To provide training and development services to help individuals and organizations improve their skills and knowledge in various areas of professional and management practices.  This business capability involves offering a wide range of short-duration courses, seminars, workshops, and training programs that are designed to enhance the capabilities and competencies of managers, executives, professionals, and employees in various industries.  The specific capabilities offered by a business that operates under this NAICS code may include providing customized training and consulting services, developing training materials and resources, designing and delivering e-learning solutions, and offering coaching and mentoring programs. The ultimate goal is to help organizations and individuals improve their performance and achieve their strategic objectives by enhancing their knowledge and skills in areas such as leadership, communication, project management, strategic planning, and other professional and management competencies.'}]",[]
Sober Testing Services LLC,Tier 1 Local Emerging Small Business,,,Justin@sobertestingservices.com,https://www.sobertestingservices.com,1018 E Sahara Ave,Las Vegas,89104.0,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '621511', 'Description': 'Laboratory Testing Services, Medical (except radiological, X-ray)', 'Capability': 'Collection and chemical analysis of urine samples for the detection of drug and alcohol usage'}]",[]
"R.A.M.S.S, LLC",Tier 1 Local Emerging Small Business,,,ramss@ramssnv.com,https://www.ramssnv.com,3560 West Cheyenne Avenue,Las Vegas,89032.0,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '561612', 'Description': 'Security Guards and Patrol Services', 'Capability': 'Security Patrol'}]",[]
Mello Hess Investments LLC,Tier 1 Local Emerging Small Business,,,summerlin@acehandymanservices.com,https://www.acehandymanservices.com/offices/summerlin,"8689 W. Sahara Ave., Suite 250",Las Vegas,89117.0,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '236118', 'Description': 'Residential Remodelers', 'Capability': 'Drywall repair, door repair and replacement, window repair and replacement, renovation, small jobs, carpentry, maintenance'}]",[]
"Crown Fabricators, LLC",Tier 2 Local Emerging Small Business,,,joe@crownfabricators.com,https://CrownFabricators.com,3850 Pioneer Ave.,Las Vegas,89102.0,Tier 2 Local Emerging Small Business,"[{'NAICS Code': '332312', 'Description': 'Fabricated Structural Metal Manufacturing', 'Capability': 'structural metal manufacturing'}]",[]
Sugar and Spice Las Vegas,Tier 1 Local Emerging Small Business,,,sales@sugarandspicelasvegas.com,https://sugarandspicelasvegas.com/,"3 Sunset Way, Suite A-14",Henderson,89014.0,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '311991', 'Description': 'Perishable Prepared Food Manufacturing', 'Capability': 'Candy Manufacturing'}]",[]
"Infinite Rizzdom, LLC",Tier 1 Local Emerging Small Business,,,rrizzi@infiniterizzdom.com,https://infiniterizzdom.com,4032 Beech Fern Ave,North Las Vegas,89084.0,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '611710', 'Description': 'Educational Services', 'Capability': 'Wellness Programs & Coaching'}]",[]
Lion’s Den Consulting LLC,Tier 1 Local Emerging Small Business,,,dwilson@thewilsonheritage.com,https://www.lionsdenconsult.com,6228 Farica St.,North Las Vegas,89081.0,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '541611', 'Description': 'Administrative Management and General Management Consulting Services', 'Capability': 'Business Consulting'}]",[]
Technical Medical LLC,Tier 1 Local Emerging Small Business,,,,https://www.techmed-ems.com,898 Maestro Dr. Suite 101,Reno,89511.0,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '621910', 'Description': 'Ambulance Services', 'Capability': 'ALS, BLS, CCT Ambulance'}]",[]
Switchback Engineering LLC,Tier 1 Local Emerging Small Business,,,info@switchbackeng.com,https://www.switchbackeng.com,10040 Sweet Oleander Ave,Las Vegas,89149.0,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '541330', 'Description': 'Engineering Services', 'Capability': 'Civil Engineering'}]",[]
Travis Kunz,Tier 1 Local Emerging Small Business,,,tueborinfo@gmail.com,https://tueborsecurity.com,825 Sienna Park Dr,Reno,89512.0,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '561612', 'Description': 'Security Guard Services', 'Capability': 'Providing a uniformed security guard to a business'}]",[]
Olivo Architecture PC,Tier 1 Local Emerging Small Business,,,info@olivoarchitecture.com,https://www.olivoarchitecture.com,1736 Hill Canyon LN,Las Vegas,89144,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '541310', 'Description': 'Architectural Services', 'Capability': 'Architecture'}]",[]
Business Process Automation Company,Tier 1 Local Emerging Small Business,,,,,9012 Litchfield Ave,Las Vegas,89134,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '541611', 'Description': 'Administrative Management and General Management Consulting Services', 'Capability': ''}]",[]
Earthworks Grading and Paving LLC,Tier 1 Local Emerging Small Business,,,info@earthworksgradingandpaving.com,https://Www.earthworksgradingandpaving.com,5081 n pioneer way  Unit C,Las Vegas,LAs Vegas,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '237990', 'Description': 'Other Heavy and Civil Engineering Construction', 'Capability': ''}]",[]
"Shield Of Valor Executive Protection, LLC",Tier 1 Local Emerging Small Business,,,valorelite21@gmail.com,https://shieldofvalorexecutiveprotecti.godaddysites.com/,5250 Stewart Ave Apt 1050,Las Vegas,89110,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '561612', 'Description': 'Security Guards and Patrol Services', 'Capability': 'Private Security services'}]",[]
Blue Sands Creations LLC,Tier 1 Local Emerging Small Business,,,,https://bluesandscreations.com,212 DePaul Court,Las Vegas,89144,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '541614', 'Description': 'Process, Physical Distribution, and Logistics Consulting Services', 'Capability': 'unlimited'}]",[]
AJ Transport LLC,Tier 1 Local Emerging Small Business,,,ajconsulting.nv@gmail.com,https://www.ajconsultingnv.com,"11500 S. Eastern Ave, Ste 150",Henderson,89052,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '561720', 'Description': 'JANITORIAL', 'Capability': ''}]",[]
S.Y.S Photographix LLC,Tier 1 Local Emerging Small Business,,,,https://www.sysphotographix.com,1806 Viaggio Ave,North Las Vegas,89081,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '541810', 'Description': 'Advertising Agencies', 'Capability': 'embroidery, screen printing, graphic design, photography, promotional products, printing services'}]",[]
RIGHT NOW PRODUCTS & SERVICES LLC,Tier 1 Local Emerging Small Business,,,,,9010 Sheep Ranch Ct,Las Vegas,89143,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '455219', 'Description': 'All Other General Merchandise Retailers', 'Capability': 'RIGHT NOW PRODUCTS & SERVICES LLC'}]",[]
Artius,Tier 2 Local Emerging Small Business,,,sales@artiusit.com,https://artiusit.com,6605 Grand Montecito Pkwy #100,Las Vegas,89149,Tier 2 Local Emerging Small Business,"[{'NAICS Code': '541611', 'Description': 'Administrative Management and General Management Consulting Services', 'Capability': 'Information Technology solutions provider'}]",[]
Skyline Moving Service LLC,Tier 1 Local Emerging Small Business,,,email@skylinemovingservice.com,https://www.skylinemovingservice.com,"7582 Las Vegas Blvd S, #184",Las Vegas,89123,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '484210', 'Description': 'Used Household and Office Goods Moving.', 'Capability': 'Local & Long Distance moving, packing, loading, unloading, and delivery.'}]",[]
"Aria Landscape Architecture, LLC",Tier 1 Local Emerging Small Business,,,,,1813 Blackhawk Rd.,Las Vegas,89108,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '541320', 'Description': 'Landscape Architectural Services', 'Capability': ''}]",[]
D&P Holding LLC,Tier 1 Local Emerging Small Business,,,daniel@reachcorporation.com,https://www.rechcorporation.com,759 Cambridge Crest Court CT,Las Vegas,89123,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '236118', 'Description': 'Residential Remodelers Electrical apparatus ad equipment, wiring supplies and related equipment merchant wholesalers, Other services buildings and dwellings', 'Capability': '$2.5 Milion'}]",[]
Atlas automotive llc,Tier 1 Local Emerging Small Business,,,atlasautomotivenv@gmail.com,https://Atlasautomotivenv.com,564 e Silverado ranch blv,Las Vegas,89183,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '811111', 'Description': 'General Automotive Repair', 'Capability': 'Garages - Engine and transmission replacement, preventative maintenance, scheduled maintenance, flush and replace all engine/transmission fluids, all electrical harness and wiring repair and replacement, suspension repair and modification, engine and electrical diagnostics, window tint, car seat installation for baby carrier bases and toddler seats, oil changes, brakes and brake pad replacement, brake fluid flush, brake line replacement and repair, all auto accessory installation, this is a full automotive repair shop for all makes and models of gas engines, and most diesel engines (not equipped for semi trucks).'}]",[]
"Avail Enterprises, LLC",Tier 1 Local Emerging Small Business,,,,,"1855 Sullivan Lane, Suite 245",Sparks,89434,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '236220', 'Description': 'Commercial and Institutional Building Construction', 'Capability': 'General Contracting'}]",[]
Icon Speech & Language Therapy,Tier 1 Local Emerging Small Business,,,,https://www.iconslp.com,1703 Lakeside Drive,Reno,89509,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '621340', 'Description': 'Offices of Physical, Occupational and Speech Therapists, and Audiologists', 'Capability': 'speech therapy'}]",[]
Plus Ultra Transport,Tier 1 Local Emerging Small Business,,,,https://plusultratransport.com/,2850 W. Horizon Ridge Pkwy Suite 200,Henderson,89052,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '423860', 'Description': 'Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers', 'Capability': 'Transportation & Logistics - Commercial Real Estate Acquisitions'}]",[]
Inspire By Design LLC,Tier 1 Local Emerging Small Business,,,gina@ibdpromo.com,https://www.ibdpromo.com,2321 Gondi Castle Avenue,Henderson,89044,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '541890', 'Description': 'Other Services Related to Advertising', 'Capability': 'Uniforms Screen Print Embroidery Promotional items'}]",[]
Hilapro Holdings LLC,Tier 1 Local Emerging Small Business,,,contact@renotahoerentalcar.com,https://www.renotahoerentalcar.com,1755 E PLUMB LN STE 168,Reno,89502,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '532111', 'Description': 'Car Rental', 'Capability': ''}]",[]
Pride Enterprise LLC,Tier 1 Local Emerging Small Business,,,info@ipridenotary.com,https://www.ipridenotary.com,8430 W Lake Mead Blvd Ste 135,Las Vegas,89128,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '561611', 'Description': 'Fingerprint services', 'Capability': 'Fingerprinting &Background Checks'}]",[]
"Captions Unlimited of Nevada, Inc",Tier 2 Local Emerging Small Business,,,scheduling@captionsunlimited.com,https://www.captionsunlimited.com,1533 Diamond Country Drive,"Reno, Nevada",89521,Tier 2 Local Emerging Small Business,"[{'NAICS Code': '541930', 'Description': 'Translation and Interpretation Services', 'Capability': ''}]",[]
Daniel Charron,Tier 1 Local Emerging Small Business,,,info@balloonproslasvegas.com,https://www.balloonproslasvegas.com,250 Promenade Pl #115,Las Vegas,89106,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '711510', 'Description': 'Independent Artists, Writers, and Performers', 'Capability': 'Artistic balloon creations for all types of events'}]",[]
Skybound Ventures LLC,Tier 1 Local Emerging Small Business,,,jenniferdice7@gmail.com,https://tempwallsystems.com/locations/las-vegas/,2900 Suzette Ct,Henderson,89044,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '532412', 'Description': 'Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing', 'Capability': 'provider of modular containment solutions for occupied construction and renovation projects. I am excited to introduce you to our innovative approach that simplifies construction containment while ensuring the utmost convenience, safety, and efficiency for your projects.'}]",[]
RV Concrete LLC,Tier 1 Local Emerging Small Business,,,rvconcrete77@gmail.com,https://N/A,4317 Lindsey Circle,Las Vegas,89130,Tier 1 Local Emerging Small Business,"[{'NAICS Code': '237310', 'Description': 'Highway, Street, and Bridge Construction', 'Capability': 'Concrete paving'}]",[]
